Team 1,Team 2,Winner,Margin,Ground,Date,Year,Match_id
Super Kings,RCB,Super Kings,6 wickets,Pune,May-05,2018,1136595
Sunrisers,Daredevils,Sunrisers,7 wickets,Hyderabad,May-05,2018,1136596
Mumbai,KKR,Mumbai,13 runs,Wankhede,May-06,2018,1136597
Kings XI,Royals,Kings XI,6 wickets,Indore,May-06,2018,1136598
Sunrisers,RCB,Sunrisers,5 runs,Hyderabad,May-07,2018,1136599
Royals,Kings XI,Royals,15 runs,Jaipur,May-08,2018,1136600
KKR,Mumbai,Mumbai,102 runs,Eden Gardens,May-09,2018,1136601
Daredevils,Sunrisers,Sunrisers,9 wickets,Delhi,May-10,2018,1136602
Royals,Super Kings,Royals,4 wickets,Jaipur,May-11,2018,1136603
Kings XI,KKR,KKR,31 runs,Indore,May-12,2018,1136604
Daredevils,RCB,RCB,5 wickets,Delhi,May-12,2018,1136605
Super Kings,Sunrisers,Super Kings,8 wickets,Pune,May-13,2018,1136606
Mumbai,Royals,Royals,7 wickets,Wankhede,May-13,2018,1136607
Kings XI,RCB,RCB,10 wickets,Indore,May-14,2018,1136608
KKR,Royals,KKR,6 wickets,Eden Gardens,May-15,2018,1136609
Mumbai,Kings XI,Mumbai,3 runs,Wankhede,May-16,2018,1136610
RCB,Sunrisers,RCB,14 runs,Bengaluru,May-17,2018,1136611
Daredevils,Super Kings,Daredevils,34 runs,Delhi,May-18,2018,1136612
Royals,RCB,Royals,30 runs,Jaipur,May-19,2018,1136613
Sunrisers,KKR,KKR,5 wickets,Hyderabad,May-19,2018,1136614
Daredevils,Mumbai,Daredevils,11 runs,Delhi,May-20,2018,1136615
Super Kings,Kings XI,Super Kings,5 wickets,Pune,May-20,2018,1136616
Super Kings,Sunrisers,Super Kings,2 wickets,Wankhede,May-22,2018,1136617
KKR,Royals,KKR,25 runs,Eden Gardens,May-23,2018,1136618
KKR,Sunrisers,Sunrisers,14 runs,Eden Gardens,May-25,2018,1136619
Super Kings,Sunrisers,Super Kings,8 wickets,Wankhede,May-27,2018,1136620
Super Kings,RCB,Super Kings,7 wickets,Chennai,Mar-23,2019,1175356
KKR,Sunrisers,KKR,6 wickets,Eden Gardens,Mar-24,2019,1175357
Mumbai,Capitals,Capitals,37 runs,Wankhede,Mar-24,2019,1175358
Royals,Kings XI,Kings XI,14 runs,Jaipur,Mar-25,2019,1175359
Capitals,Super Kings,Super Kings,6 wickets,Delhi,Mar-26,2019,1175360
KKR,Kings XI,KKR,28 runs,Eden Gardens,Mar-27,2019,1175361
RCB,Mumbai,Mumbai,6 runs,Bengaluru,Mar-28,2019,1175362
Sunrisers,Royals,Sunrisers,5 wickets,Hyderabad,Mar-29,2019,1175363
Kings XI,Mumbai,Kings XI,8 wickets,Mohali,Mar-30,2019,1175364
Capitals,KKR,tied,-,Delhi,Mar-30,2019,1175365
Sunrisers,RCB,Sunrisers,118 runs,Hyderabad,Mar-31,2019,1175366
Super Kings,Royals,Super Kings,8 runs,Chennai,Mar-31,2019,1175367
Kings XI,Capitals,Kings XI,14 runs,Mohali,Apr-01,2019,1175368
Royals,RCB,Royals,7 wickets,Jaipur,Apr-02,2019,1175369
Mumbai,Super Kings,Mumbai,37 runs,Wankhede,Apr-03,2019,1175370
Capitals,Sunrisers,Sunrisers,5 wickets,Delhi,Apr-04,2019,1175371
RCB,KKR,KKR,5 wickets,Bengaluru,Apr-05,2019,1175372
Super Kings,Kings XI,Super Kings,22 runs,Chennai,Apr-06,2019,1178393
Sunrisers,Mumbai,Mumbai,40 runs,Hyderabad,Apr-06,2019,1178394
RCB,Capitals,Capitals,4 wickets,Bengaluru,Apr-07,2019,1178395
Royals,KKR,KKR,8 wickets,Jaipur,Apr-07,2019,1178396
Kings XI,Sunrisers,Kings XI,6 wickets,Mohali,Apr-08,2019,1178397
Super Kings,KKR,Super Kings,7 wickets,Chennai,Apr-09,2019,1178398
Mumbai,Kings XI,Mumbai,3 wickets,Wankhede,Apr-10,2019,1178399
Royals,Super Kings,Super Kings,4 wickets,Jaipur,Apr-11,2019,1178400
KKR,Capitals,Capitals,7 wickets,Eden Gardens,Apr-12,2019,1178401
Mumbai,Royals,Royals,4 wickets,Wankhede,Apr-13,2019,1178402
Kings XI,RCB,RCB,8 wickets,Mohali,Apr-13,2019,1178403
KKR,Super Kings,Super Kings,5 wickets,Eden Gardens,Apr-14,2019,1178404
Sunrisers,Capitals,Capitals,39 runs,Hyderabad,Apr-14,2019,1178405
Mumbai,RCB,Mumbai,5 wickets,Wankhede,Apr-15,2019,1178406
Kings XI,Royals,Kings XI,12 runs,Mohali,Apr-16,2019,1178407
Sunrisers,Super Kings,Sunrisers,6 wickets,Hyderabad,Apr-17,2019,1178408
Capitals,Mumbai,Mumbai,40 runs,Delhi,Apr-18,2019,1178409
KKR,RCB,RCB,10 runs,Eden Gardens,Apr-19,2019,1178410
Royals,Mumbai,Royals,5 wickets,Jaipur,Apr-20,2019,1178411
Capitals,Kings XI,Capitals,5 wickets,Delhi,Apr-20,2019,1178412
Sunrisers,KKR,Sunrisers,9 wickets,Hyderabad,Apr-21,2019,1178413
RCB,Super Kings,RCB,1 run,Bengaluru,Apr-21,2019,1178414
Royals,Capitals,Capitals,6 wickets,Jaipur,Apr-22,2019,1178415
Super Kings,Sunrisers,Super Kings,6 wickets,Chennai,Apr-23,2019,1178416
RCB,Kings XI,RCB,17 runs,Bengaluru,Apr-24,2019,1178417
KKR,Royals,Royals,3 wickets,Eden Gardens,Apr-25,2019,1178418
Super Kings,Mumbai,Mumbai,46 runs,Chennai,Apr-26,2019,1178419
Royals,Sunrisers,Royals,7 wickets,Jaipur,Apr-27,2019,1178420
Capitals,RCB,Capitals,16 runs,Delhi,Apr-28,2019,1178421
KKR,Mumbai,KKR,34 runs,Eden Gardens,Apr-28,2019,1178422
Sunrisers,Kings XI,Sunrisers,45 runs,Hyderabad,Apr-29,2019,1178423
RCB,Royals,no result,-,Bengaluru,Apr-30,2019,1178424
Super Kings,Capitals,Super Kings,80 runs,Chennai,May-01,2019,1178425
Mumbai,Sunrisers,tied,-,Wankhede,May-02,2019,1178426
Kings XI,KKR,KKR,7 wickets,Mohali,May-03,2019,1178427
Capitals,Royals,Capitals,5 wickets,Delhi,May-04,2019,1178428
RCB,Sunrisers,RCB,4 wickets,Bengaluru,May-04,2019,1178429
Kings XI,Super Kings,Kings XI,6 wickets,Mohali,May-05,2019,1178430
Mumbai,KKR,Mumbai,9 wickets,Wankhede,May-05,2019,1178431
Super Kings,Mumbai,Mumbai,6 wickets,Chennai,May-07,2019,1181764
Sunrisers,Capitals,Capitals,2 wickets,Visakhapatnam,May-08,2019,1181766
Super Kings,Capitals,Super Kings,6 wickets,Visakhapatnam,May-10,2019,1181767
Super Kings,Mumbai,Mumbai,1 run,Hyderabad,May-12,2019,1181768
Mumbai,Super Kings,Super Kings,5 wickets,Abu Dhabi,Sep-19,2020,1216492
Capitals,Kings XI,tied,-,Dubai (DSC),Sep-20,2020,1216493
Sunrisers,RCB,RCB,10 runs,Dubai (DSC),Sep-21,2020,1216534
Royals,Super Kings,Royals,16 runs,Sharjah,Sep-22,2020,1216496
KKR,Mumbai,Mumbai,49 runs,Abu Dhabi,Sep-23,2020,1216508
Kings XI,RCB,Kings XI,97 runs,Dubai (DSC),Sep-24,2020,1216510
Super Kings,Capitals,Capitals,44 runs,Dubai (DSC),Sep-25,2020,1216539
KKR,Sunrisers,KKR,7 wickets,Abu Dhabi,Sep-26,2020,1216545
Royals,Kings XI,Royals,4 wickets,Sharjah,Sep-27,2020,1216527
RCB,Mumbai,tied,-,Dubai (DSC),Sep-28,2020,1216547
Capitals,Sunrisers,Sunrisers,15 runs,Abu Dhabi,Sep-29,2020,1216532
Royals,KKR,KKR,37 runs,Dubai (DSC),Sep-30,2020,1216504
Kings XI,Mumbai,Mumbai,48 runs,Abu Dhabi,Oct-01,2020,1216503
Super Kings,Sunrisers,Sunrisers,7 runs,Dubai (DSC),Oct-02,2020,1216516
RCB,Royals,RCB,8 wickets,Abu Dhabi,Oct-03,2020,1216514
Capitals,KKR,Capitals,18 runs,Sharjah,Oct-03,2020,1216515
Mumbai,Sunrisers,Mumbai,34 runs,Sharjah,Oct-04,2020,1216538
Kings XI,Super Kings,Super Kings,10 wickets,Dubai (DSC),Oct-04,2020,1216513
RCB,Capitals,Capitals,59 runs,Dubai (DSC),Oct-05,2020,1216519
Mumbai,Royals,Mumbai,57 runs,Abu Dhabi,Oct-06,2020,1216511
KKR,Super Kings,KKR,10 runs,Abu Dhabi,Oct-07,2020,1216501
Sunrisers,Kings XI,Sunrisers,69 runs,Dubai (DSC),Oct-08,2020,1216542
Royals,Capitals,Capitals,46 runs,Sharjah,Oct-09,2020,1216500
Kings XI,KKR,KKR,2 runs,Abu Dhabi,Oct-10,2020,1216523
Super Kings,RCB,RCB,37 runs,Dubai (DSC),Oct-10,2020,1216525
Sunrisers,Royals,Royals,5 wickets,Dubai (DSC),Oct-11,2020,1216507
Mumbai,Capitals,Mumbai,5 wickets,Abu Dhabi,Oct-11,2020,1216529
RCB,KKR,RCB,82 runs,Sharjah,Oct-12,2020,1216540
Sunrisers,Super Kings,Super Kings,20 runs,Dubai (DSC),Oct-13,2020,1216528
Capitals,Royals,Capitals,13 runs,Dubai (DSC),Oct-14,2020,1216543
RCB,Kings XI,Kings XI,8 wickets,Sharjah,Oct-15,2020,1216531
Mumbai,KKR,Mumbai,8 wickets,Abu Dhabi,Oct-16,2020,1216526
Royals,RCB,RCB,7 wickets,Dubai (DSC),Oct-17,2020,1216522
Capitals,Super Kings,Capitals,5 wickets,Sharjah,Oct-17,2020,1216509
Sunrisers,KKR,tied,-,Abu Dhabi,Oct-18,2020,1216512
Mumbai,Kings XI,tied,-,Dubai (DSC),Oct-18,2020,1216517
Super Kings,Royals,Royals,7 wickets,Abu Dhabi,Oct-19,2020,1216533
Kings XI,Capitals,Kings XI,5 wickets,Dubai (DSC),Oct-20,2020,1216546
KKR,RCB,RCB,8 wickets,Abu Dhabi,Oct-21,2020,1216494
Royals,Sunrisers,Sunrisers,8 wickets,Dubai (DSC),Oct-22,2020,1216518
Super Kings,Mumbai,Mumbai,10 wickets,Sharjah,Oct-23,2020,1216521
KKR,Capitals,KKR,59 runs,Abu Dhabi,Oct-24,2020,1216497
Kings XI,Sunrisers,Kings XI,12 runs,Dubai (DSC),Oct-24,2020,1216498
RCB,Super Kings,Super Kings,8 wickets,Dubai (DSC),Oct-25,2020,1216544
Royals,Mumbai,Royals,8 wickets,Abu Dhabi,Oct-25,2020,1216541
KKR,Kings XI,Kings XI,8 wickets,Sharjah,Oct-26,2020,1216520
Sunrisers,Capitals,Sunrisers,88 runs,Dubai (DSC),Oct-27,2020,1216524
Mumbai,RCB,Mumbai,5 wickets,Abu Dhabi,Oct-28,2020,1216499
Super Kings,KKR,Super Kings,6 wickets,Dubai (DSC),Oct-29,2020,1216536
Kings XI,Royals,Royals,7 wickets,Abu Dhabi,Oct-30,2020,1216537
Capitals,Mumbai,Mumbai,9 wickets,Dubai (DSC),Oct-31,2020,1216535
RCB,Sunrisers,Sunrisers,5 wickets,Sharjah,Oct-31,2020,1216502
Super Kings,Kings XI,Super Kings,9 wickets,Abu Dhabi,Nov-01,2020,1216506
KKR,Royals,KKR,60 runs,Dubai (DSC),Nov-01,2020,1216530
Capitals,RCB,Capitals,6 wickets,Abu Dhabi,Nov-02,2020,1216505
Sunrisers,Mumbai,Sunrisers,10 wickets,Sharjah,Nov-03,2020,1216495
Capitals,Mumbai,Mumbai,57 runs,Dubai (DSC),Nov-05,2020,1237177
RCB,Sunrisers,Sunrisers,6 wickets,Abu Dhabi,Nov-06,2020,1237178
Capitals,Sunrisers,Capitals,17 runs,Abu Dhabi,Nov-08,2020,1237180
Capitals,Mumbai,Mumbai,5 wickets,Dubai (DSC),Nov-10,2020,1237181
Mumbai,RCB,RCB,2 wickets,Chennai,Apr-09,2021,1254058
Super Kings,Capitals,Capitals,7 wickets,Wankhede,Apr-10,2021,1254059
Sunrisers,KKR,KKR,10 runs,Chennai,Apr-11,2021,1254060
Royals,Punjab Kings,Punjab Kings,4 runs,Wankhede,Apr-12,2021,1254061
KKR,Mumbai,Mumbai,10 runs,Chennai,Apr-13,2021,1254062
Sunrisers,RCB,RCB,6 runs,Chennai,Apr-14,2021,1254063
Royals,Capitals,Royals,3 wickets,Wankhede,Apr-15,2021,1254064
Punjab Kings,Super Kings,Super Kings,6 wickets,Wankhede,Apr-16,2021,1254065
Mumbai,Sunrisers,Mumbai,13 runs,Chennai,Apr-17,2021,1254066
RCB,KKR,RCB,38 runs,Chennai,Apr-18,2021,1254067
Capitals,Punjab Kings,Capitals,6 wickets,Wankhede,Apr-18,2021,1254068
Super Kings,Royals,Super Kings,45 runs,Wankhede,Apr-19,2021,1254069
Capitals,Mumbai,Capitals,6 wickets,Chennai,Apr-20,2021,1254070
Punjab Kings,Sunrisers,Sunrisers,9 wickets,Chennai,Apr-21,2021,1254071
KKR,Super Kings,Super Kings,18 runs,Wankhede,Apr-21,2021,1254072
RCB,Royals,RCB,10 wickets,Wankhede,Apr-22,2021,1254073
Punjab Kings,Mumbai,Punjab Kings,9 wickets,Chennai,Apr-23,2021,1254074
Royals,KKR,Royals,6 wickets,Wankhede,Apr-24,2021,1254075
Super Kings,RCB,Super Kings,69 runs,Wankhede,Apr-25,2021,1254076
Sunrisers,Capitals,tied,-,Chennai,Apr-25,2021,1254077
Punjab Kings,KKR,KKR,5 wickets,Ahmedabad,Apr-26,2021,1254078
Capitals,RCB,RCB,1 run,Ahmedabad,Apr-27,2021,1254079
Super Kings,Sunrisers,Super Kings,7 wickets,Delhi,Apr-28,2021,1254080
Mumbai,Royals,Mumbai,7 wickets,Delhi,Apr-29,2021,1254081
Capitals,KKR,Capitals,7 wickets,Ahmedabad,Apr-29,2021,1254082
Punjab Kings,RCB,Punjab Kings,34 runs,Ahmedabad,Apr-30,2021,1254083
Mumbai,Super Kings,Mumbai,4 wickets,Delhi,May-01,2021,1254084
Royals,Sunrisers,Royals,55 runs,Delhi,May-02,2021,1254085
Punjab Kings,Capitals,Capitals,7 wickets,Ahmedabad,May-02,2021,1254086
Super Kings,Mumbai,Super Kings,20 runs,Dubai (DSC),Sep-19,2021,1254104
KKR,RCB,KKR,9 wickets,Abu Dhabi,Sep-20,2021,1254087
Punjab Kings,Royals,Royals,2 runs,Dubai (DSC),Sep-21,2021,1254111
Capitals,Sunrisers,Capitals,8 wickets,Dubai (DSC),Sep-22,2021,1254105
Mumbai,KKR,KKR,7 wickets,Abu Dhabi,Sep-23,2021,1254096
RCB,Super Kings,Super Kings,6 wickets,Sharjah,Sep-24,2021,1254113
Capitals,Royals,Capitals,33 runs,Abu Dhabi,Sep-25,2021,1254097
Sunrisers,Punjab Kings,Punjab Kings,5 runs,Sharjah,Sep-25,2021,1254107
Super Kings,KKR,Super Kings,2 wickets,Abu Dhabi,Sep-26,2021,1254098
RCB,Mumbai,RCB,54 runs,Dubai (DSC),Sep-26,2021,1254108
Sunrisers,Royals,Sunrisers,7 wickets,Dubai (DSC),Sep-27,2021,1254100
KKR,Capitals,KKR,3 wickets,Sharjah,Sep-28,2021,1254092
Mumbai,Punjab Kings,Mumbai,6 wickets,Abu Dhabi,Sep-28,2021,1254099
Royals,RCB,RCB,7 wickets,Dubai (DSC),Sep-29,2021,1254103
Sunrisers,Super Kings,Super Kings,6 wickets,Sharjah,Sep-30,2021,1254091
KKR,Punjab Kings,Punjab Kings,5 wickets,Dubai (DSC),Oct-01,2021,1254102
Mumbai,Capitals,Capitals,4 wickets,Sharjah,Oct-02,2021,1254112
Royals,Super Kings,Royals,7 wickets,Abu Dhabi,Oct-02,2021,1254089
RCB,Punjab Kings,RCB,6 runs,Sharjah,Oct-03,2021,1254090
KKR,Sunrisers,KKR,6 wickets,Dubai (DSC),Oct-03,2021,1254109
Capitals,Super Kings,Capitals,3 wickets,Dubai (DSC),Oct-04,2021,1254110
Royals,Mumbai,Mumbai,8 wickets,Sharjah,Oct-05,2021,1254093
RCB,Sunrisers,Sunrisers,4 runs,Abu Dhabi,Oct-06,2021,1254095
Super Kings,Punjab Kings,Punjab Kings,6 wickets,Dubai (DSC),Oct-07,2021,1254094
KKR,Royals,KKR,86 runs,Sharjah,Oct-07,2021,1254106
RCB,Capitals,RCB,7 wickets,Dubai (DSC),Oct-08,2021,1254101
Sunrisers,Mumbai,Mumbai,42 runs,Abu Dhabi,Oct-08,2021,1254088
Capitals,Super Kings,Super Kings,4 wickets,Dubai (DSC),Oct-10,2021,1254114
RCB,KKR,KKR,4 wickets,Sharjah,Oct-11,2021,1254115
Capitals,KKR,KKR,3 wickets,Sharjah,Oct-13,2021,1254116
Super Kings,KKR,Super Kings,27 runs,Dubai (DSC),Oct-15,2021,1254117
Super Kings,KKR,KKR,6 wickets,Wankhede,Mar-26,2022,1304047
Capitals,Mumbai,Capitals,4 wickets,Brabourne,Mar-27,2022,1304048
Punjab Kings,RCB,Punjab Kings,5 wickets,DY Patil,Mar-27,2022,1304049
Titans,Super Giants,Titans,5 wickets,Wankhede,Mar-28,2022,1304050
Sunrisers,Royals,Royals,61 runs,Pune,Mar-29,2022,1304051
RCB,KKR,RCB,3 wickets,DY Patil,Mar-30,2022,1304052
Super Giants,Super Kings,Super Giants,6 wickets,Brabourne,Mar-31,2022,1304053
KKR,Punjab Kings,KKR,6 wickets,Wankhede,Apr-01,2022,1304054
Mumbai,Royals,Royals,23 runs,DY Patil,Apr-02,2022,1304055
Titans,Capitals,Titans,14 runs,Pune,Apr-02,2022,1304056
Super Kings,Punjab Kings,Punjab Kings,54 runs,Brabourne,Apr-03,2022,1304057
Sunrisers,Super Giants,Super Giants,12 runs,DY Patil,Apr-04,2022,1304058
Royals,RCB,RCB,4 wickets,Wankhede,Apr-05,2022,1304059
KKR,Mumbai,KKR,5 wickets,Pune,Apr-06,2022,1304060
Super Giants,Capitals,Super Giants,6 wickets,DY Patil,Apr-07,2022,1304061
Punjab Kings,Titans,Titans,6 wickets,Brabourne,Apr-08,2022,1304062
Super Kings,Sunrisers,Sunrisers,8 wickets,DY Patil,Apr-09,2022,1304063
RCB,Mumbai,RCB,7 wickets,Pune,Apr-09,2022,1304064
KKR,Capitals,Capitals,44 runs,Brabourne,Apr-10,2022,1304065
Royals,Super Giants,Royals,3 runs,Wankhede,Apr-10,2022,1304066
Sunrisers,Titans,Sunrisers,8 wickets,DY Patil,Apr-11,2022,1304067
Super Kings,RCB,Super Kings,23 runs,DY Patil,Apr-12,2022,1304068
Mumbai,Punjab Kings,Punjab Kings,12 runs,Pune,Apr-13,2022,1304069
Royals,Titans,Titans,37 runs,DY Patil,Apr-14,2022,1304070
Sunrisers,KKR,Sunrisers,7 wickets,Brabourne,Apr-15,2022,1304071
Mumbai,Super Giants,Super Giants,18 runs,Brabourne,Apr-16,2022,1304072
Capitals,RCB,RCB,16 runs,Wankhede,Apr-16,2022,1304073
Punjab Kings,Sunrisers,Sunrisers,7 wickets,DY Patil,Apr-17,2022,1304074
Titans,Super Kings,Titans,3 wickets,Pune,Apr-17,2022,1304075
Royals,KKR,Royals,7 runs,Brabourne,Apr-18,2022,1304076
Super Giants,RCB,RCB,18 runs,DY Patil,Apr-19,2022,1304077
Capitals,Punjab Kings,Capitals,9 wickets,Brabourne,Apr-20,2022,1304078
Mumbai,Super Kings,Super Kings,3 wickets,DY Patil,Apr-21,2022,1304079
Capitals,Royals,Royals,15 runs,Wankhede,Apr-22,2022,1304080
KKR,Titans,Titans,8 runs,DY Patil,Apr-23,2022,1304081
RCB,Sunrisers,Sunrisers,9 wickets,Brabourne,Apr-23,2022,1304082
Super Giants,Mumbai,Super Giants,36 runs,Wankhede,Apr-24,2022,1304083
Punjab Kings,Super Kings,Punjab Kings,11 runs,Wankhede,Apr-25,2022,1304084
RCB,Royals,Royals,29 runs,Pune,Apr-26,2022,1304085
Titans,Sunrisers,Titans,5 wickets,Wankhede,Apr-27,2022,1304086
Capitals,KKR,Capitals,4 wickets,Wankhede,Apr-28,2022,1304087
Punjab Kings,Super Giants,Super Giants,20 runs,Pune,Apr-29,2022,1304088
Titans,RCB,Titans,6 wickets,Brabourne,Apr-30,2022,1304089
Royals,Mumbai,Mumbai,5 wickets,DY Patil,Apr-30,2022,1304090
Capitals,Super Giants,Super Giants,6 runs,Wankhede,May-01,2022,1304091
Sunrisers,Super Kings,Super Kings,13 runs,Pune,May-01,2022,1304092
KKR,Royals,KKR,7 wickets,Wankhede,May-02,2022,1304093
Titans,Punjab Kings,Punjab Kings,8 wickets,DY Patil,May-03,2022,1304094
RCB,Super Kings,RCB,13 runs,Pune,May-04,2022,1304095
Capitals,Sunrisers,Capitals,21 runs,Brabourne,May-05,2022,1304096
Titans,Mumbai,Mumbai,5 runs,Brabourne,May-06,2022,1304097
Punjab Kings,Royals,Royals,6 wickets,Wankhede,May-07,2022,1304098
Super Giants,KKR,Super Giants,75 runs,Pune,May-07,2022,1304099
Sunrisers,RCB,RCB,67 runs,Wankhede,May-08,2022,1304100
Super Kings,Capitals,Super Kings,91 runs,DY Patil,May-08,2022,1304101
Mumbai,KKR,KKR,52 runs,DY Patil,May-09,2022,1304102
Super Giants,Titans,Titans,62 runs,Pune,May-10,2022,1304103
Royals,Capitals,Capitals,8 wickets,DY Patil,May-11,2022,1304104
Super Kings,Mumbai,Mumbai,5 wickets,Wankhede,May-12,2022,1304105
RCB,Punjab Kings,Punjab Kings,54 runs,Brabourne,May-13,2022,1304106
KKR,Sunrisers,KKR,54 runs,Pune,May-14,2022,1304107
Super Kings,Titans,Titans,7 wickets,Wankhede,May-15,2022,1304108
Super Giants,Royals,Royals,24 runs,Brabourne,May-15,2022,1304109
Punjab Kings,Capitals,Capitals,17 runs,DY Patil,May-16,2022,1304110
Mumbai,Sunrisers,Sunrisers,3 runs,Wankhede,May-17,2022,1304111
KKR,Super Giants,Super Giants,2 runs,DY Patil,May-18,2022,1304112
RCB,Titans,RCB,8 wickets,Wankhede,May-19,2022,1304113
Royals,Super Kings,Royals,5 wickets,Brabourne,May-20,2022,1304114
Mumbai,Capitals,Mumbai,5 wickets,Wankhede,May-21,2022,1304115
Sunrisers,Punjab Kings,Punjab Kings,5 wickets,Wankhede,May-22,2022,1304116
Titans,Royals,Titans,7 wickets,Eden Gardens,May-24,2022,1312197
Super Giants,RCB,RCB,14 runs,Eden Gardens,May-25,2022,1312198
Royals,RCB,Royals,7 wickets,Ahmedabad,May-27,2022,1312199
Titans,Royals,Titans,7 wickets,Ahmedabad,May-29,2022,1312200
Titans,Super Kings,Titans,5 wickets,Ahmedabad,Mar-31,2023,1359475
Punjab Kings,KKR,Punjab Kings,7 runs,Mohali,Apr-01,2023,1359476
Super Giants,Capitals,Super Giants,50 runs,Lucknow,Apr-01,2023,1359477
Sunrisers,Royals,Royals,72 runs,Hyderabad,Apr-02,2023,1359478
RCB,Mumbai,RCB,8 wickets,Bengaluru,Apr-02,2023,1359479
Super Kings,Super Giants,Super Kings,12 runs,Chennai,Apr-03,2023,1359480
Capitals,Titans,Titans,6 wickets,Delhi,Apr-04,2023,1359481
Royals,Punjab Kings,Punjab Kings,5 runs,Guwahati,Apr-05,2023,1359482
KKR,RCB,KKR,81 runs,Eden Gardens,Apr-06,2023,1359483
Super Giants,Sunrisers,Super Giants,5 wickets,Lucknow,Apr-07,2023,1359484
Royals,Capitals,Royals,57 runs,Guwahati,Apr-08,2023,1359485
Mumbai,Super Kings,Super Kings,7 wickets,Wankhede,Apr-08,2023,1359486
Titans,KKR,KKR,3 wickets,Ahmedabad,Apr-09,2023,1359487
Sunrisers,Punjab Kings,Sunrisers,8 wickets,Hyderabad,Apr-09,2023,1359488
RCB,Super Giants,Super Giants,1 wicket,Bengaluru,Apr-10,2023,1359489
Capitals,Mumbai,Mumbai,6 wickets,Delhi,Apr-11,2023,1359490
Super Kings,Royals,Royals,3 runs,Chennai,Apr-12,2023,1359491
Punjab Kings,Titans,Titans,6 wickets,Mohali,Apr-13,2023,1359492
KKR,Sunrisers,Sunrisers,23 runs,Eden Gardens,Apr-14,2023,1359493
RCB,Capitals,RCB,23 runs,Bengaluru,Apr-15,2023,1359494
Super Giants,Punjab Kings,Punjab Kings,2 wickets,Lucknow,Apr-15,2023,1359495
Mumbai,KKR,Mumbai,5 wickets,Wankhede,Apr-16,2023,1359496
Titans,Royals,Royals,3 wickets,Ahmedabad,Apr-16,2023,1359497
RCB,Super Kings,Super Kings,8 runs,Bengaluru,Apr-17,2023,1359498
Sunrisers,Mumbai,Mumbai,14 runs,Hyderabad,Apr-18,2023,1359499
Royals,Super Giants,Super Giants,10 runs,Jaipur,Apr-19,2023,1359500
Punjab Kings,RCB,RCB,24 runs,Mohali,Apr-20,2023,1359501
Capitals,KKR,Capitals,4 wickets,Delhi,Apr-20,2023,1359502
Super Kings,Sunrisers,Super Kings,7 wickets,Chennai,Apr-21,2023,1359503
Super Giants,Titans,Titans,7 runs,Lucknow,Apr-22,2023,1359504
Mumbai,Punjab Kings,Punjab Kings,13 runs,Wankhede,Apr-22,2023,1359505
RCB,Royals,RCB,7 runs,Bengaluru,Apr-23,2023,1359506
KKR,Super Kings,Super Kings,49 runs,Eden Gardens,Apr-23,2023,1359507
Sunrisers,Capitals,Capitals,7 runs,Hyderabad,Apr-24,2023,1359508
Titans,Mumbai,Titans,55 runs,Ahmedabad,Apr-25,2023,1359509
RCB,KKR,KKR,21 runs,Bengaluru,Apr-26,2023,1359510
Royals,Super Kings,Royals,32 runs,Jaipur,Apr-27,2023,1359511
Punjab Kings,Super Giants,Super Giants,56 runs,Mohali,Apr-28,2023,1359512
KKR,Titans,Titans,7 wickets,Eden Gardens,Apr-29,2023,1359513
Capitals,Sunrisers,Sunrisers,9 runs,Delhi,Apr-29,2023,1359514
Super Kings,Punjab Kings,Punjab Kings,4 wickets,Chennai,Apr-30,2023,1359515
Mumbai,Royals,Mumbai,6 wickets,Wankhede,Apr-30,2023,1359516
Super Giants,RCB,RCB,18 runs,Lucknow,May-01,2023,1359517
Titans,Capitals,Capitals,5 runs,Ahmedabad,May-02,2023,1359518
Super Giants,Super Kings,no result,-,Lucknow,May-03,2023,1359519
Punjab Kings,Mumbai,Mumbai,6 wickets,Mohali,May-03,2023,1359520
Sunrisers,KKR,KKR,5 runs,Hyderabad,May-04,2023,1359521
Royals,Titans,Titans,9 wickets,Jaipur,May-05,2023,1359522
Super Kings,Mumbai,Super Kings,6 wickets,Chennai,May-06,2023,1359523
